Company name,State,Segment,Type,Website,Growth stage,Employees,Industries,HQ city,HQ address,Tagline,LinkedIn,Profile,Job openings,Accredited sponsor,Hires international students
Crema Joe,Victoria,scaleup,marketplace & ecommerce,http://www.cremajoe.com.au,early stage,1,food,Melbourne,"65, Mount Eliza Way, Mt Eliza Village, Mount Eliza, Melbourne, Shire of Mornington Peninsula, Victoria, 3930, Australia",SealPod Nespresso® Compatible Refillable Coffee Pods | Crema Joe,https://www.linkedin.com/company/crema-joe/,https://ecosystem.innovationvictoria.com/companies/crema_joe,0,,
Creww,Victoria,startup,marketplace & ecommerce,http://www.creww.com.au/,early stage,2-10,event tech;jobs recruitment,Melbourne,"3000 Melbourne, Australia",,https://www.linkedin.com/company/creww-au/,https://ecosystem.innovationvictoria.com/companies/creww_aus,0,,
Cricketer Exchange,Victoria,scaleup,marketplace & ecommerce,http://www.cricketerexchange.com,early stage,2-10,sports;jobs recruitment,Melbourne,"Napier Street, Footscray, Melbourne, City of Maribyrnong, Victoria, 3011, Australia",Cricketer Exchange is an interactive online cricket site that specialises in matching amateur cricketers in England and Australia with cricket clubs at home and abroad,https://www.linkedin.com/company/cricketer-exchange/,https://ecosystem.innovationvictoria.com/companies/cricketer_exchange,0,,
Crisis Budget,Victoria,startup,mobile app;artificial intelligence;saas,https://ordesignlabs.com/home,early stage,2-10,fintech,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Helps you determine your eligibility for assistance and gives you specialized crisis budgeting tools,https://www.linkedin.com/company/ordesignlabs/,https://ecosystem.innovationvictoria.com/companies/or_design_labs,0,,
Crisisworks,Victoria,scaleup,mobile app;subscription;saas,https://www.crisisworks.com,early stage,,enterprise software,Melbourne,"Bourke Street, Melbourne, City of Melbourne, Victoria, 3000, Australia","Complete operations management system for managing emergencies, risk and recovery across the full lifecycle on any device",https://www.linkedin.com/company/crisisworks/,https://ecosystem.innovationvictoria.com/companies/crisisworks,0,,
Critical Info,Victoria,startup,mobile app;subscription;saas,http://criticalinfo.com.au,early stage,2-10,health,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Critical Info takes the uncertainty out of estate management and end-of-life ceremonies by allowing people to take control of their estate,https://www.linkedin.com/company/critical-info/,https://ecosystem.innovationvictoria.com/companies/critical_info,0,,
Cronicle,Victoria,startup,subscription;saas,https://www.cronicle.site,early stage,,media,Melbourne,"Melbourne, City of Melbourne, Victoria, 3000, Australia",,https://www.linkedin.com/company/cronicle-site/,https://ecosystem.innovationvictoria.com/companies/cronicle_1,0,,
Cropnexus,Victoria,startup,autonomous & sensor tech;connected device;iot internetofthings;subscription;saas,http://cropnexus.com.au,early stage,2-10,food;enterprise software,Caulfield South,"Caulfield South, City of Glen Eira, Victoria, 3162, Australia",Real-time crop intelligence and agronomic insights platform,https://www.linkedin.com/company/cropnexus/,https://ecosystem.innovationvictoria.com/companies/cropnexus,0,,
Crowd & Co.,Victoria,scaleup,commission;marketplace & ecommerce,http://crowdandco.com,early stage,1,media,Melbourne,"Melbourne, Australia","An online marketplace which enables users to connect, engage and collaborate in a controlled and timely manner",https://www.linkedin.com/company/crowd-and-co/,https://ecosystem.innovationvictoria.com/companies/crowd_co_,0,,
Crowdify,Victoria,startup,commission;saas,http://crowdify.com.au,early stage,,fintech,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Risk-free event crowdfunding and ticketing management platform.,https://www.linkedin.com/company/crowdifyaus/,https://ecosystem.innovationvictoria.com/companies/crowdify_1,0,,
Crowdspot,Victoria,scaleup,big data,http://www.crowdspot.com.au,early stage,1,home living;transportation,Melbourne,"222, Exhibition Street, 3000 Melbourne, Australia",CrowdSpot is a map-based community engagement and data collection platform,https://www.linkedin.com/company/crowdspot-pty-ltd/,https://ecosystem.innovationvictoria.com/companies/crowdspot_1,0,,
Crowdsprint,Victoria,scaleup,subscription,http://crowdsprint.com,early stage,11-50,security,Melbourne,"3000 Melbourne, Australia",Australian based crowdsourced testing company providing testing services to clients,https://www.linkedin.com/company/crowdsprint/,https://ecosystem.innovationvictoria.com/companies/crowdsprint,0,,
Crownbet,Victoria,scaleup,mobile app;commission;saas,https://www.crownbet.com.au/,breakout stage,11-50,gaming,Melbourne,"Melbourne, Australia",An Australian wagering and sports betting brand trademark of Crown Resorts International,https://www.linkedin.com/company/crownbet/,https://ecosystem.innovationvictoria.com/companies/crownbet,0,,
Crypto Workshop Pty,Victoria,scaleup,,http://cryptoworkshop.com,early stage,2-10,fintech,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Company who manages 'bouncy castle fips' projects and support developing and deploying solutions,https://www.linkedin.com/company/crypto-workshop/,https://ecosystem.innovationvictoria.com/companies/crypto_workshop_pty,0,,
Crystal aOS,Victoria,startup,blockchain;subscription;saas,https://www.crystalaos.com/,early stage,2-10,legal;fintech,Melbourne,"Caulfield South, Melbourne, City of Glen Eira, Victoria, 3162, Australia","The Crystal aOS (agentic operating system) is purpose built for people and businesses in crypto worldwide. Crystal is the master agent with a global brain of crypto specific laws, guidance, cases curated and maintained by us daily",https://www.linkedin.com/company/crystalaos/,https://ecosystem.innovationvictoria.com/companies/crystal_aos,0,,
Crystal Delta,Victoria,scaleup,commission;saas,https://crystaldelta.com/,breakout stage,51-200,fintech;marketing,Melbourne,"Natural History Bar & Grill, 401, Collins Street, Melbourne, Carlton, Melbourne, City of Melbourne, Victoria, 3000, Australia","Offers several support services, tools and solutions to make learning platforms and education technology",https://www.linkedin.com/company/crystal-delta/,https://ecosystem.innovationvictoria.com/companies/crystal_delta,0,,
CTB AND CO,Victoria,startup,subscription;marketplace & ecommerce;saas,http://ctbandco.com,early stage,11-50,food;hosting,Melbourne,"Thomas Street, Yarraville, Melbourne, City of Maribyrnong, Victoria, 3013, Australia",,https://www.linkedin.com/company/ctbandco/,https://ecosystem.innovationvictoria.com/companies/ctbandco,0,,
ctrl:cyber,Victoria,startup,subscription;saas,https://ctrl.co/,early stage,51-200,legal;security,Melbourne,"3000 Melbourne, Australia",Agile and Tailored Cybersecurity Services | CTRL Group,https://www.linkedin.com/company/ctrlcyber/,https://ecosystem.innovationvictoria.com/companies/ctrl_cyber,4,,
ctrldoc,Victoria,scaleup,saas,http://ctrldoc.com,early stage,2-10,real estate;enterprise software,Melbourne,"Preston, Melbourne, City of Darebin, Victoria, 3072, Australia",Ctrldoc's Firedoc module is the fire penetration register app designed and used by passive fire and building professionals,https://www.linkedin.com/company/ctrldoc/,https://ecosystem.innovationvictoria.com/companies/ctrldoc,0,,
Cubbi,Victoria,scaleup,subscription;marketplace & ecommerce,https://www.cubbi.com.au/,early stage,2-10,real estate,Melbourne,"3000 Melbourne, Australia",Online renting and property management platform,https://www.linkedin.com/company/cubbi/,https://ecosystem.innovationvictoria.com/companies/cubbi,0,,
Cube Exchange,Victoria,startup,blockchain;commission,http://cube.exchange,breakout stage,11-50,fintech,South Melbourne,"South Melbourne, City of Port Phillip, Victoria, 3205, Australia",Yout Cube is the world's fastest crypto exchange,https://www.linkedin.com/company/cubexch/,https://ecosystem.innovationvictoria.com/companies/cube_exchange_1,0,,
Cubelab,Victoria,startup,hardware;deep tech;commission;manufacturing,http://cubelab.com.au,early stage,2-10,robotics,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Automated vending kiosks for instant phone screen protection,https://www.linkedin.com/company/cubelabau/,https://ecosystem.innovationvictoria.com/companies/cubelab,0,,
Cubery,Victoria,startup,artificial intelligence;machine learning;saas,http://cubery.com,early stage,11-50,marketing;enterprise software,Melbourne,"Woolworths Metro, 222, Exhibition Street, East End Theatre District, Melbourne, City of Melbourne, Victoria, 3000, Australia",Cubery | Predict & Improve Marketing Effectiveness,https://www.linkedin.com/company/cubery/,https://ecosystem.innovationvictoria.com/companies/cubery,0,,
Cubewire,Victoria,startup,artificial intelligence;saas,http://cubewire.com,early stage,11-50,fintech,Melbourne,"Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia","Blockchain integration and liquidity management solutions for enterprises, enhancing security and operational efficiency",https://www.linkedin.com/company/cubewire8/,https://ecosystem.innovationvictoria.com/companies/cubewire,1,,
CuboPharm,Victoria,startup,commission;manufacturing,https://cubopharm.com.au/,early stage,2-10,health,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Developing improved drug delivery formulations,https://www.linkedin.com/company/cubopharm/,https://ecosystem.innovationvictoria.com/companies/cubopharm,0,,
Cultur,Victoria,startup,subscription;saas,http://cultur.co,early stage,1,enterprise software,Melbourne,"44 Gatehouse Drive, Melbourne, VIC 3031, AU",Social club software enhancing workplace connections through tailored events and activities,https://www.linkedin.com/company/cultur/,https://ecosystem.innovationvictoria.com/companies/cultur_1,0,,
Culture Amp,Victoria,scaleup,subscription;saas,http://cultureamp.com/,late stage,501-1000,jobs recruitment;enterprise software,Melbourne,"Richmond, Melbourne, City of Yarra, Victoria, 3121, Australia",Offers survey platform for people and culture,https://www.linkedin.com/company/cultureamp/,https://ecosystem.innovationvictoria.com/companies/culture_amp,32,True,True
Culture Quest Tours,Victoria,startup,advertising;marketplace & ecommerce,https://culturequesttours.com.au,early stage,2-10,travel,Melbourne,"2/7 Main St, Melbourne, Victoria 3044, AU","Melbourne Day Tours, Day Trips, Virtual Tours of Iran - Culture Quest Tours",https://www.linkedin.com/company/culture-quest-tours-australia/,https://ecosystem.innovationvictoria.com/companies/culture_quest_tours,0,,
CuMesh,Victoria,scaleup,big data;iot internetofthings;subscription;saas,https://cumesh.au,early stage,2-10,enterprise software,Melbourne,"East Melbourne, Melbourne, City of Melbourne, Victoria, 3002, Australia","CuMesh is an advanced web-native engine for dynamic operational management, data integrity, and security, providing real-time data capture and governance for complex sites and missions",https://www.linkedin.com/company/cumesh/,https://ecosystem.innovationvictoria.com/companies/cumesh,0,,
Cura Technologies,Victoria,startup,subscription;saas,https://www.cura-technologies.com/,early stage,2-10,enterprise software,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",AI-driven platform optimizing NDIS compliance and service delivery for care providers,https://www.linkedin.com/company/cura-technologies/,https://ecosystem.innovationvictoria.com/companies/cura_technologies_,0,,
Curio,Victoria,startup,subscription;saas,http://meetcurio.ai,early stage,2-10,media,Melbourne,"East Melbourne, Melbourne, City of Melbourne, Victoria, 3002, Australia",AI-powered context layer for business conversations.,https://www.linkedin.com/company/meetcurio/,https://ecosystem.innovationvictoria.com/companies/curio_9,0,,
Curious Cat,Victoria,startup,artificial intelligence;subscription;saas,https://curiouscat.com.au,early stage,2-10,health,Melbourne,"Collins Street, Melbourne, City of Melbourne, Victoria, 3000, Australia",Market Intelligence for the Vet Industry? Actionable Insights for Vets? That's Curious Cat!,https://www.linkedin.com/company/vetiq-aust/,https://ecosystem.innovationvictoria.com/companies/curious_cat,0,,
Currency Shop,Victoria,scaleup,,http://www.thecurrencyshop.com.au,early stage,1,fintech;real estate,Melbourne,"The Commons, 80, Market Street, South Melbourne, Melbourne, City of Port Phillip, Victoria, 3205, Australia",Exchange Rate Comparison Website for Travellers and Money Transfers,https://www.linkedin.com/company/the-currency-shop/,https://ecosystem.innovationvictoria.com/companies/currency_shop,0,,
Currinda,Victoria,scaleup,commission;saas,http://currinda.com,early stage,2-10,event tech,Melbourne,"Melbourne, Australia","A world class event registration, association management and abstract submission system",https://www.linkedin.com/company/currinda-pty-ltd/,https://ecosystem.innovationvictoria.com/companies/currinda,0,,
Currus Biologics,Victoria,startup,commission;manufacturing,https://www.currusbio.com/,early stage,11-50,health,Melbourne,"31, Queen Street, Melbourne, City of Melbourne, Victoria, 3000, Australia","Utilizing its proprietary BEAT technology to develop CAR-T cell therapies for the treatment of solid tumor cancers, traditionally difficult to treat with current CAR-T cell therapies",https://www.linkedin.com/company/currus-biologics-pty-ltd/,https://ecosystem.innovationvictoria.com/companies/currus_biologics,0,,
Curu,Victoria,startup,mobile app;subscription;marketplace & ecommerce,http://curu.com.au,early stage,1,wellness beauty,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Product guide at your fingertips,https://www.linkedin.com/company/curuclub/,https://ecosystem.innovationvictoria.com/companies/curu_1_1,0,,
Curve tomorrow,Victoria,scaleup,saas,http://www.curvetomorrow.com,early stage,11-50,health;enterprise software,Melbourne,"Royal Children's Hospital, 48-50, Flemington Road, Parkville, Melbourne, City of Melbourne, Victoria, 3052, Australia","Curve Tomorrow designs and builds digital health technology for hospitals, health-related institutes and businesses to solve clinical problems, advance wellness and improve efficiency",https://www.linkedin.com/company/curve-tomorrow/,https://ecosystem.innovationvictoria.com/companies/curve_tomorrow,0,,
Curvecrete,Victoria,startup,selling own inventory;manufacturing,http://www.curvecrete.com,early stage,2-10,real estate,Melbourne,"Melbourne, AU","curvecrete.com - Beautiful, Sustainable, Concrete, Construction",https://www.linkedin.com/company/curvecrete/,https://ecosystem.innovationvictoria.com/companies/curvecrete,0,,
Custom Fluids,Victoria,scaleup,,https://customfluids.com.au/,early stage,1,energy,Melbourne,"Railway Avenue, Ringwood East, Melbourne, City of Maroondah, Victoria, 3135, Australia","We treat water to get higher throughput, great yield, and reduced carbon emissions.  Our key is by naturally adding Oxygen, Ozone, or almost any other gas to water",https://www.linkedin.com/company/customfluids/,https://ecosystem.innovationvictoria.com/companies/custom_fluids,0,,
Customscience,Victoria,scaleup,commission;manufacturing,http://customscience.com.au,early stage,2-10,health,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Advanced genomics solutions enhancing NGS workflows with efficient library construction and sensitive SARS-CoV-2 detection,https://www.linkedin.com/company/custom-science-australia/,https://ecosystem.innovationvictoria.com/companies/customscience,0,,
Cutlery Carriage,Victoria,startup,selling own inventory;marketplace & ecommerce,https://cutlerycarriage.com/,early stage,,home living,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Eco-friendly cutlery cases with included utensils, designed for hygiene, convenience, and sustainability",https://www.linkedin.com/company/cutlery-carriage®/,https://ecosystem.innovationvictoria.com/companies/cutlery_carriage,0,,
Cuttable,Victoria,startup,artificial intelligence;subscription;saas,https://www.cuttable.com/,early stage,11-50,marketing,Melbourne,"Chapel Street, South Yarra, Melbourne, City of Stonnington, Victoria, 3141, Australia",AI ad creative production system for ecommerce.,https://www.linkedin.com/company/cuttable/,https://ecosystem.innovationvictoria.com/companies/cuttable,2,,
CXi Software,Victoria,scaleup,subscription;saas,http://cxisoftware.com.au,early stage,2-10,fintech,Melbourne,"Marshall Street, Ivanhoe, Melbourne, City of Banyule, Victoria, 3079, Australia",CXi Software streamlines and automates the back office operations of Fund Managers and Fund Administrators,https://www.linkedin.com/company/cxi-software/,https://ecosystem.innovationvictoria.com/companies/cxi_software,0,,
Cyban,Victoria,startup,deep tech;selling own inventory;manufacturing,https://www.cyban.com.au/,early stage,11-50,health,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Cyban’s next generation brain oxygen monitor delivers unprecedented brain health monitoring in a non-invasive manner,https://www.linkedin.com/company/cyban-pty-ltd/,https://ecosystem.innovationvictoria.com/companies/cyban_1,0,,
Cyber Awareness AI,Victoria,startup,subscription;saas,http://cyberawareness.ai,early stage,1,security,Geelong,"Geelong, City of Greater Geelong, Victoria, 3220, Australia",AI-driven awareness for proactive cyber defense,https://www.linkedin.com/company/cyber-awareness-ai/,https://ecosystem.innovationvictoria.com/companies/cyber_awareness_ai,0,,
Cyber Citadel,Victoria,startup,subscription;saas,http://www.cybercitadel.com,early stage,2-10,enterprise software,Melbourne,"333, Collins Street, 3000 Melbourne, Australia",We have particularly deep expertise in multi-lingual Web Application and Network Infrastructure Penetration Testing for Cyber Security,https://www.linkedin.com/company/cyber-citadel/,https://ecosystem.innovationvictoria.com/companies/cyber_citadel,0,,
Cyber Clinic,Victoria,startup,commission;marketplace & ecommerce,http://cyberclinic.com.au,early stage,2-10,health,Melbourne,"488, Bourke Street, 3000 Melbourne, Australia","Online mental health clinic providing face-to-face consultations, and is the simplest, fastest and most convenient way for people experiencing mental health issues to find the right professional help through the tap of a button",https://www.linkedin.com/company/cyber-clinic/,https://ecosystem.innovationvictoria.com/companies/cyber_clinic,0,,
Cyber Pulse Solutions,Victoria,startup,subscription;saas,https://cyberpulsesolutions.com,early stage,1,security,Melbourne,"Fawkner, Upfield Shared Path, Hadfield, Melbourne, City of Merri-bek, Victoria, 3046, Australia",AI-powered cybersecurity and compliance automation platform,https://www.linkedin.com/company/cyberpulsesolutions/,https://ecosystem.innovationvictoria.com/companies/cyber_pulse_solutions,0,,
Cyber Risk,Victoria,startup,,http://www.cyber-risk.com.au,early stage,11-50,security,Melbourne,"Degani Bakery Cafe, 710, Collins Street, Batman's Hill, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia",Cybersecurity | Penetration Testing | Managed Services,https://www.linkedin.com/company/cyberrisk/,https://ecosystem.innovationvictoria.com/companies/cyber_risk,0,,
CyberAware,Victoria,startup,saas,http://www.cyberaware.com,early stage,2-10,enterprise software,Melbourne,"441, Little Bourke Street, 3000 Melbourne, Australia",White-Label Security Awareness Training For MSPs & Resellers,https://www.linkedin.com/company/cyberaware/,https://ecosystem.innovationvictoria.com/companies/cyberaware,0,,
Cybersight,Victoria,startup,subscription;saas,http://cybersight.net.au,early stage,1,security,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Find out how we can support your people with education, tools, and guidance in the ever-changing cyber landscape",https://www.linkedin.com/company/cybersightau/,https://ecosystem.innovationvictoria.com/companies/cybersight_2,0,,
CYDARM,Victoria,startup,,http://www.cydarm.com,early stage,11-50,security,Melbourne,"Degani Bakery Cafe, 710, Collins Street, Batman's Hill, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia",Integrated Cybersecurity Operations Platform,https://www.linkedin.com/company/cydarm/,https://ecosystem.innovationvictoria.com/companies/cydarm,0,,
Cylite,Victoria,scaleup,deep tech;subscription;commission;manufacturing,http://cyliteoptics.com,early stage,11-50,health,Melbourne,"7/45 Normanby Rd, Notting Hill, Victoria 3168, AU",Developing the next generation of diagnostic OCT systems for ophthalmology and optometry,https://www.linkedin.com/company/cylite-optics/,https://ecosystem.innovationvictoria.com/companies/cylite,0,,
Cylockr,Victoria,startup,big data;saas,https://www.cylockr.com.au,early stage,1,event tech,Melbourne,"Ringwood, Melbourne, City of Maroondah, Victoria, 3134, Australia",We give you secure single-use links to get sensitive info from A to B without it being in clear text or at risk of being intercepted,,https://ecosystem.innovationvictoria.com/companies/cylocker,0,,
Cymphony Bio,Victoria,startup,commission;manufacturing,https://www.cymphonybio.com/,early stage,2-10,health,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Develops advanced tools to build precise, scalable, and consistent models of human health",https://www.linkedin.com/company/cymphonybio/,https://ecosystem.innovationvictoria.com/companies/cymphony_bio,0,,
Cynch,Victoria,startup,subscription;saas,http://www.cynch.com.au,early stage,2-10,security,Melbourne,"Melbourne, Victoria AU","Empowering small businesses with a tailored,SaaS platform for cybersecurity, offering continuous risk assessment, training, and tools to build resilience",https://www.linkedin.com/company/cynchsec/,https://ecosystem.innovationvictoria.com/companies/cynch_1,0,,
CYRION Technologies,Victoria,startup,commission;manufacturing,https://glasskote.technology,early stage,,energy,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Low-cost carbon nanotubes for advanced industrial materials.,https://www.linkedin.com/company/cyrion-technologies-au/,https://ecosystem.innovationvictoria.com/companies/cyrion_technologies,0,,
CyterX,Victoria,startup,connected device;selling own inventory;manufacturing,https://www.cyterx.com/,early stage,1,security,Melbourne,"Queens Road, St Kilda, Melbourne, City of Port Phillip, Victoria, 3182, Australia",Personal safety smart ring with automated alerts,https://www.linkedin.com/company/cyterx/,https://ecosystem.innovationvictoria.com/companies/cyterx,0,,
Cythera,Victoria,startup,subscription;saas,https://cythera.com.au/,early stage,11-50,security,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Cyber security solutions for Australian businesses with predictable monthly costs, focusing on assessment, protection, and response",https://www.linkedin.com/company/cythera/,https://ecosystem.innovationvictoria.com/companies/cythera_,0,,
Cytofarms,Victoria,startup,selling own inventory;manufacturing,https://cytofarms.com,early stage,1,food,Melbourne,"Albert Street, Brunswick, Melbourne, City of Merri-bek, Victoria, 3056, Australia",Accessible cultivated meat for all communities,https://www.linkedin.com/company/cytofarms/,https://ecosystem.innovationvictoria.com/companies/cytofarms_pty_ltd,0,,
d-twin,Victoria,startup,saas,http://dtwin.com.au,early stage,2-10,enterprise software,Melbourne,"Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia",Digital twin technology and the benefits of Product Lifecycle Management (PLM),https://www.linkedin.com/company/d-twin/,https://ecosystem.innovationvictoria.com/companies/d_twin,0,,
DACRA,Victoria,startup,commission;manufacturing,,early stage,,health,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Peptide-based therapeutics in development to harness amylin and calcitonin pathways to reduce body weight and improve metabolic health in obesity and type-2 diabetes,,https://ecosystem.innovationvictoria.com/companies/dacra_1,0,,
Daedulux,Victoria,startup,big data;commission;manufacturing,https://daedulux.com/,early stage,,enterprise software,Castlemaine,"18, Tomkies Road, Castlemaine, Shire of Mount Alexander, Victoria, 3450, Australia","Precision drone surveying for small businesses and communities, offering real-time insights and minimal disruption",,https://ecosystem.innovationvictoria.com/companies/daedulux,0,,
Daifo,Victoria,startup,advertising;saas,http://daifo.ai,early stage,2-10,marketing,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Smart Digital Receipts, eReceipts, Rewards, Loyalty Program, Promotions, Analytics, Flybuys",https://www.linkedin.com/company/daifo/,https://ecosystem.innovationvictoria.com/companies/daifo,0,,
DailyCare,Victoria,scaleup,commission;marketplace & ecommerce,http://www.dailycare.com.au,early stage,2-10,health,Melbourne,"Toorak Road, South Yarra, Melbourne, City of Melbourne, Victoria, 3141, Australia",Helps people find care accommodation and aged care,https://www.linkedin.com/company/dailycare/,https://ecosystem.innovationvictoria.com/companies/dailycare,0,,
Dainton Beer,Victoria,scaleup,selling own inventory;manufacturing,https://www.dainton.beer/,early stage,11-50,food,Melbourne,"Dainton Brewery & Taphouse, 560, Frankston-Dandenong Road, Carrum Downs, Melbourne, City of Frankston, Victoria, 3201, Australia",A food production company,https://www.linkedin.com/company/dainton-beer/,https://ecosystem.innovationvictoria.com/companies/dainton_beer,0,,
Daisee,Victoria,startup,artificial intelligence;machine learning;subscription;saas,http://daisee.com,early stage,11-50,enterprise software,Melbourne,"Degani Bakery Cafe, 710, Collins Street, Batman's Hill, Docklands, Melbourne, City of Melbourne, Victoria, 3008, Australia",Artificial Intelligence Software,https://www.linkedin.com/company/daisee/,https://ecosystem.innovationvictoria.com/companies/daisee,0,,
Dao Vinci,Victoria,startup,saas,http://daovinci.com/,early stage,1,music,Melbourne,"120, Spencer Street, 3000 Melbourne, Australia",Building technology to make music anywhere,https://www.linkedin.com/company/loveboost/,https://ecosystem.innovationvictoria.com/companies/dao_vinci,0,,
DAOsquare,Victoria,startup,commission;saas,http://daosquare.io,early stage,2-10,fintech,Melbourne,"Scoresby, Melbourne, City of Knox, Victoria, 3179, Australia","Incubator for Web3 startups, fostering innovation and community-driven projects in the blockchain space",,https://ecosystem.innovationvictoria.com/companies/daosquare_1,0,,
Darcan Engineering,Victoria,scaleup,3d technology;commission;manufacturing,http://darcan.com.au,early stage,2-10,engineering and manufacturing equipment,Drouin,"Drouin, Shire of Baw Baw, Victoria, 3818, Australia","Focused on 3D modelling, prototyping, machine sourcing and special purpose machine design and manufacturing",https://www.linkedin.com/company/darcan-engineering-pty-ltd/,https://ecosystem.innovationvictoria.com/companies/darcan_engineering,0,,
Dark Shadow Studio,Victoria,startup,virtual reality;commission,http://www.darkshadowstudios.com,early stage,2-10,gaming,,"Melbourne VIC, Australia","Game designers specializing in virtual reality, PC, Xbox, PSN, Oculus",https://www.linkedin.com/company/dark-shadow-studio-pty-ltd/,https://ecosystem.innovationvictoria.com/companies/dark_shadow_studio,0,,
DAS (Digital Agriculture Services),Victoria,startup,machine learning;artificial intelligence;subscription;saas,https://digitalagricultureservices.com/,early stage,11-50,food;enterprise software,Melbourne,"Rialto Observation Deck, 525, Collins Street, Melbourne, City of Melbourne, Victoria, 3000, Australia",Uses data to understand the opportunities for reducing risk and driving growth in agribusiness,https://www.linkedin.com/company/digital-agriculture-services-pty-ltd/,https://ecosystem.innovationvictoria.com/companies/das_digital_agriculture_services_,0,,
Dash Pay,Victoria,startup,mobile app;advertising;commission;subscription;saas;marketplace & ecommerce,https://dashfinanceapp.com/,early stage,2-10,fintech,Melbourne,"Glen Iris, Melbourne, City of Boroondara, Victoria, 3146, Australia",Mobile application for splitting group payments and expenses,https://www.linkedin.com/company/dashpayapp/,https://ecosystem.innovationvictoria.com/companies/dash_pay,0,,
Dashcord,Victoria,scaleup,commission,http://www.dashcord.com,early stage,2-10,event tech;marketing,Melbourne,"Drummond Street, Carlton, Melbourne, City of Melbourne, Victoria, 3053, Australia",A native marketing automation and event management solution for Salesforce customers,https://www.linkedin.com/company/dashcord/,https://ecosystem.innovationvictoria.com/companies/dashcord,0,,
Data 4 Nature,Victoria,startup,big data;commission;saas,https://data4nature.co,early stage,,energy;enterprise software,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia","Created by IDEEA Group, Data4Nature (D4N) is a comprehensive solution for managing natural capital data using the latest global measurement standards",,https://ecosystem.innovationvictoria.com/companies/data_4_nature,0,,
Data Disruption,Victoria,startup,subscription;saas,https://www.datadisruption.com.au/,early stage,1,enterprise software,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",Analytics consultancy for Microsoft Fabric and Power BI,https://www.linkedin.com/company/data-disruption/,https://ecosystem.innovationvictoria.com/companies/data_disruption,0,,
Data Driven Sports Analytics,Victoria,startup,subscription;saas,http://ddsportsanalytics.com,early stage,2-10,sports,Melbourne,"Melbourne, Australia","We provide affordable sports analytics for clubs, athletes and schools to provide the analytics sports data you need to enhance success",https://www.linkedin.com/company/data-driven-sports-analytics/,https://ecosystem.innovationvictoria.com/companies/data_driven_sports_analytics,0,,
Data Runs Deep,Victoria,scaleup,saas,,early stage,,enterprise software,Melbourne,"313, Little Collins Street, 3000 Melbourne, Australia","Data Runs Deep | Google Analytics Partner | Melbourne, Sydney, Hobart",,https://ecosystem.innovationvictoria.com/companies/data_runs_deep,0,,
Data ventures,Victoria,startup,subscription;saas,http://dataventures.com.au,early stage,2-10,enterprise software,Melbourne,"Melbourne, Australia",Offers a specialized tool for analyzing and gaining insights from the Federal government’s AusTender data,https://www.linkedin.com/company/dataventuresptyltd/,https://ecosystem.innovationvictoria.com/companies/data_ventures_1,0,,
Data2App,Victoria,startup,artificial intelligence;saas,http://data2app.com.au,early stage,2-10,enterprise software,Melbourne,"Melbourne, City of Melbourne, Victoria, Australia",AI data products for legal and financial services.,https://www.linkedin.com/company/data2app/,https://ecosystem.innovationvictoria.com/companies/data2app,0,,
Database CI,Victoria,startup,commission,http://databaseci.com,early stage,1,security,Melbourne,"3000 Melbourne, Australia",Connects users to a database using an agent installed on infrastructure,https://www.linkedin.com/company/databaseci/,https://ecosystem.innovationvictoria.com/companies/database_ci,0,,
DataFarm Tech,Victoria,startup,,https://datafarmtechnologies.com,early stage,2-10,food,Melbourne,"45, Normanby Road, Notting Hill, Melbourne, City of Monash, Victoria, 3168, Australia",,https://www.linkedin.com/company/datafarm-technologies/,https://ecosystem.innovationvictoria.com/companies/datafarm_tech,0,,
Datagamz,Victoria,scaleup,artificial intelligence;big data;saas,https://livedcx.ai,early stage,11-50,enterprise software,Melbourne,"Toorak Road, Toorak, Melbourne, City of Stonnington, Victoria, 3142, Australia",AI-powered customer experience and employee engagement platform,https://www.linkedin.com/company/datagamz/,https://ecosystem.innovationvictoria.com/companies/datagamz,0,,
